perturbation,Log2 fold change,FDR P value,Cell type affected,Known regulation of macrophage differentiation or CD14,References,screened_by_surdziel
LOC643323,0,1,,Not reviewed,,not screened
LOC642331,0,1,,Not reviewed,,not screened
TCEA2,0,1,,Not reviewed,,not screened
Hs.132725,0,1,,Not reviewed,,not screened
C10orf55,0,1,,Not reviewed,,not screened
Hs.570113,0,1,,Not reviewed,,not screened
SOCS3,0,1,,Not reviewed,,not screened
HNRPD,0,1,,Not reviewed,,not screened
Hs.154631,0,1,,Not reviewed,,not screened
LOC650200,0,1,,Not reviewed,,not screened
RNF133,0,1,,Not reviewed,,not screened
FLJ10006,0,1,,Not reviewed,,not screened
GLRA2,0,1,,Not reviewed,,not screened
Hs.443798,0,1,,Not reviewed,,not screened
ACE2,0,1,,Not reviewed,,not screened
VWA2,0,1,,Not reviewed,,not screened
Hs.579889,0,1,,Not reviewed,,not screened
DKFZp779B1540,0,1,,Not reviewed,,not screened
Hs.547959,0,1,,Not reviewed,,not screened
FLJ46257,0,1,,Not reviewed,,not screened
SLC39A8,0,1,,Not reviewed,,not screened
RNF157,0,1,,Not reviewed,,not screened
DKFZp547H025,0,1,,Not reviewed,,not screened
Hs.562980,0,1,,Not reviewed,,not screened
Hs.575099,0,1,,Not reviewed,,not screened
Hs.584295,0,1,,Not reviewed,,not screened
KIAA1755,0,1,,Not reviewed,,not screened
KIAA0527,0,1,,Not reviewed,,not screened
ARHGEF15,0,1,,Not reviewed,,not screened
PRC1,0,1,,Not reviewed,,not screened
Hs.572124,0,1,,Not reviewed,,not screened
LOC91661,0,1,,Not reviewed,,not screened
KLF8,0,1,,Not reviewed,,screened
Hs.542313,0,1,,Not reviewed,,not screened
ELOVL2,0,1,,Not reviewed,,not screened
Hs.428533,0,1,,Not reviewed,,not screened
STX5A,0,1,,Not reviewed,,not screened
LSP1,0,1,,Not reviewed,,not screened
Hs.581865,0,1,,Not reviewed,,not screened
Hs.575188,0,1,,Not reviewed,,not screened
Hs.292009,0,1,,Not reviewed,,not screened
LOC647947,0,1,,Not reviewed,,not screened
Hs.571181,0,1,,Not reviewed,,not screened
Hs.538149,0,1,,Not reviewed,,not screened
KRTAP3-1,0,1,,Not reviewed,,not screened
USP33,0,1,,Not reviewed,,not screened
Hs.143075,0,1,,Not reviewed,,not screened
ZBTB26,0,1,,Not reviewed,,not screened
Hs.545627,0,1,,Not reviewed,,not screened
POU4F1,0,1,,Not reviewed,,not screened
LOC653855,0,1,,Not reviewed,,not screened
TAC3,0,1,,Not reviewed,,not screened
PIGN,0,1,,Not reviewed,,not screened
Hs.552680,0,1,,Not reviewed,,not screened
LOC644969,0,1,,Not reviewed,,not screened
LOC652454,0,1,,Not reviewed,,not screened
HBQ1,0,1,,Not reviewed,,not screened
Hs.584662,0,1,,Not reviewed,,not screened
Hs.584046,0,1,,Not reviewed,,not screened
LOC440742,0,1,,Not reviewed,,not screened
Hs.116425,0,1,,Not reviewed,,not screened
Hs.547551,0,1,,Not reviewed,,not screened
GLDN,0,1,,Not reviewed,,not screened
GCG,0,1,,Not reviewed,,not screened
C1QBP,0,1,,Not reviewed,,not screened
NOMO2,0,1,,Not reviewed,,not screened
Hs.554235,0,1,,Not reviewed,,not screened
LOC389634,0,1,,Not reviewed,,not screened
Hs.581585,0,1,,Not reviewed,,not screened
OR4F5,0,1,,Not reviewed,,not screened
B3GNT4,0,1,,Not reviewed,,not screened
CXCR6,0,1,,Not reviewed,,not screened
DLG5,0,1,,Not reviewed,,not screened
Hs.574966,0,1,,Not reviewed,,not screened
ACBD5,0,1,,Not reviewed,,not screened
Hs.561624,0,1,,Not reviewed,,not screened
C6orf25,0,1,,Not reviewed,,not screened
PDE10A,0,1,,Not reviewed,,not screened
Hs.309308,0,1,,Not reviewed,,not screened
LOC391257,0,1,,Not reviewed,,not screened
Hs.565487,0,1,,Not reviewed,,not screened
Hs.87271,0,1,,Not reviewed,,not screened
ARRB1,0,1,,Not reviewed,,not screened
PRDM6,0,1,,Not reviewed,,screened
HS6ST1,0,1,,Not reviewed,,not screened
Hs.134215,0,1,,Not reviewed,,not screened
DLL1,0,1,,Not reviewed,,not screened
OR4F15,0,1,,Not reviewed,,not screened
Hs.576629,0,1,,Not reviewed,,not screened
Hs.545544,0,1,,Not reviewed,,not screened
TUBB3,0,1,,Not reviewed,,not screened
Hs.118101,0,1,,Not reviewed,,not screened
Hs.568542,0,1,,Not reviewed,,not screened
DDX31,0,1,,Not reviewed,,not screened
CBLC,0,1,,Not reviewed,,not screened
Hs.554390,0,1,,Not reviewed,,not screened
OXTR,0,1,,Not reviewed,,not screened
ZFAND1,0,1,,Not reviewed,,not screened
Hs.540069,0,1,,Not reviewed,,not screened
Hs.552950,0,1,,Not reviewed,,not screened
SLC18A2,0,1,,Not reviewed,,not screened
SH2D5,0,1,,Not reviewed,,not screened
Hs.519124,0,1,,Not reviewed,,not screened
LOC375748,0,1,,Not reviewed,,not screened
LOC642829,0,1,,Not reviewed,,not screened
Hs.444493,0,1,,Not reviewed,,not screened
C1orf176,0,1,,Not reviewed,,not screened
SEPT5,0,1,,Not reviewed,,not screened
NR5A1,0,1,,Not reviewed,,not screened
ARHGAP17,0,1,,Not reviewed,,not screened
LOC652175,0,1,,Not reviewed,,not screened
Hs.438486,0,1,,Not reviewed,,not screened
Hs.580879,0,1,,Not reviewed,,not screened
CDH4,0,1,,Not reviewed,,not screened
Hs.223908,0,1,,Not reviewed,,not screened
GLT28D1,0,1,,Not reviewed,,not screened
Hs.190748,0,1,,Not reviewed,,not screened
CNKSR3,0,1,,Not reviewed,,not screened
LOC653471,0,1,,Not reviewed,,not screened
TCF3,0,1,,Not reviewed,,screened
DKFZp434I1020,0,1,,Not reviewed,,not screened
ALDH16A1,0,1,,Not reviewed,,not screened
C1orf178,0,1,,Not reviewed,,not screened
LOC440732,0,1,,Not reviewed,,not screened
Hs.542920,0,1,,Not reviewed,,not screened
Hs.147030,0,1,,Not reviewed,,not screened
TSPAN14,0,1,,Not reviewed,,not screened
DBH,0,1,,Not reviewed,,not screened
FLJ16542,0,1,,Not reviewed,,not screened
Hs.207105,0,1,,Not reviewed,,not screened
C14orf143,0,1,,Not reviewed,,not screened
MUM1,0,1,,Not reviewed,,screened
FLJ32363,0,1,,Not reviewed,,not screened
Hs.545705,0,1,,Not reviewed,,not screened
ABCD4,0,1,,Not reviewed,,not screened
Hs.549331,0,1,,Not reviewed,,not screened
Hs.172610,0,1,,Not reviewed,,not screened
LOC651410,0,1,,Not reviewed,,not screened
LOC653131,0,1,,Not reviewed,,not screened
TMEM17,0,1,,Not reviewed,,not screened
CGN,0,1,,Not reviewed,,not screened
Hs.562177,0,1,,Not reviewed,,not screened
TSPAN31,0,1,,Not reviewed,,not screened
LOC645476,0,1,,Not reviewed,,not screened
CES2,0,1,,Not reviewed,,not screened
GLUD2,0,1,,Not reviewed,,not screened
LOC285989,0,1,,Not reviewed,,not screened
Hs.541852,0,1,,Not reviewed,,not screened
Hs.551425,0,1,,Not reviewed,,not screened
LOC652267,0,1,,Not reviewed,,not screened
LOC645550,0,1,,Not reviewed,,not screened
USP36,0,1,,Not reviewed,,not screened
Hs.297337,0,1,,Not reviewed,,not screened
LOC653692,0,1,,Not reviewed,,not screened
Hs.538383,0,1,,Not reviewed,,not screened
C6orf211,0,1,,Not reviewed,,not screened
LOC643662,0,1,,Not reviewed,,not screened
OR5BF1,0,1,,Not reviewed,,not screened
ACOT2,0,1,,Not reviewed,,not screened
LOC642429,0,1,,Not reviewed,,not screened
PLSCR4,0,1,,Not reviewed,,not screened
Hs.564859,0,1,,Not reviewed,,not screened
SCNN1D,0,1,,Not reviewed,,not screened
COQ3,0,1,,Not reviewed,,not screened
Hs.462797,0,1,,Not reviewed,,not screened
LOC388237,0,1,,Not reviewed,,not screened
GPR158L1,0,1,,Not reviewed,,not screened
HBEGF,0,1,,Not reviewed,,not screened
ZNF516,0,1,,Not reviewed,,not screened
KPNA1,0,1,,Not reviewed,,not screened
LMNA,0,1,,Not reviewed,,not screened
DDHD2,0,1,,Not reviewed,,not screened
LTB4DH,0,1,,Not reviewed,,not screened
CHRD,0,1,,Not reviewed,,screened
TRAF4,0,1,,Not reviewed,,not screened
Hs.565025,0,1,,Not reviewed,,not screened
Hs.541649,0,1,,Not reviewed,,not screened
Hs.521268,0,1,,Not reviewed,,not screened
EML2,0,1,,Not reviewed,,not screened
MAK,0,1,,Not reviewed,,not screened
SCGB2A2,0,1,,Not reviewed,,not screened
Hs.540136,0,1,,Not reviewed,,not screened
Hs.538259,0,1,,Not reviewed,,not screened
OGG1,0,1,,Not reviewed,,not screened
LOC641743,0,1,,Not reviewed,,not screened
TM2D1,0,1,,Not reviewed,,not screened
Hs.327008,0,1,,Not reviewed,,not screened
C10orf51,0,1,,Not reviewed,,not screened
LOC653238,0,1,,Not reviewed,,not screened
LOC654123,0,1,,Not reviewed,,not screened
Hs.555514,0,1,,Not reviewed,,not screened
MGC10701,0,1,,Not reviewed,,not screened
Hs.562604,0,1,,Not reviewed,,not screened
IRF2BP2,0,1,,Not reviewed,,not screened
Hs.441849,0,1,,Not reviewed,,not screened
ZNF23,0,1,,Not reviewed,,not screened
CASP6,0,1,,Not reviewed,,not screened
ADAM2,0,1,,Not reviewed,,not screened
Hs.225044,0,1,,Not reviewed,,not screened
Hs.569675,0,1,,Not reviewed,,not screened
Hs.577260,0,1,,Not reviewed,,not screened
RPS13,0,1,,Not reviewed,,not screened
BET1L,0,1,,Not reviewed,,not screened
LOC651195,0,1,,Not reviewed,,not screened
NHP2L1,0,1,,Not reviewed,,not screened
Hs.532515,0,1,,Not reviewed,,not screened
CRYBB1,0,1,,Not reviewed,,not screened
PRKCB1,0,1,,Not reviewed,,not screened
Hs.544288,0,1,,Not reviewed,,not screened
LOC652781,0,1,,Not reviewed,,not screened
Hs.580481,0,1,,Not reviewed,,not screened
Hs.575647,0,1,,Not reviewed,,not screened
LOC646135,0,1,,Not reviewed,,not screened
Hs.563152,0,1,,Not reviewed,,not screened
PASD1,0,1,,Not reviewed,,not screened
Hs.562937,0,1,,Not reviewed,,not screened
Hs.567036,0,1,,Not reviewed,,not screened
Hs.478158,0,1,,Not reviewed,,not screened
LOC648408,0,1,,Not reviewed,,not screened
Hs.538522,0,1,,Not reviewed,,not screened
Hs.365163,0,1,,Not reviewed,,not screened
PCDHA3,0,1,,Not reviewed,,not screened
PTPLAD1,0,1,,Not reviewed,,not screened
C21orf63,0,1,,Not reviewed,,not screened
C20orf123,0,1,,Not reviewed,,not screened
Hs.544830,0,1,,Not reviewed,,not screened
C1orf183,0,1,,Not reviewed,,not screened
Hs.582619,0,1,,Not reviewed,,not screened
Hs.249957,0,1,,Not reviewed,,not screened
Hs.551409,0,1,,Not reviewed,,not screened
MTF2,0,1,,Not reviewed,,screened
DNAJC11,0,1,,Not reviewed,,not screened
Hs.563113,0,1,,Not reviewed,,not screened
HSPC148,0,1,,Not reviewed,,not screened
Hs.584545,0,1,,Not reviewed,,not screened
LOC653086,0,1,,Not reviewed,,not screened
Hs.570167,0,1,,Not reviewed,,not screened
TAF10,0,1,,Not reviewed,,not screened
ENPEP,0,1,,Not reviewed,,not screened
Hs.568498,0,1,,Not reviewed,,not screened
Hs.547715,0,1,,Not reviewed,,not screened
LRRC4,0,1,,Not reviewed,,not screened
SYN2,0,1,,Not reviewed,,not screened
RPS19,0,1,,Not reviewed,,not screened
Hs.552874,0,1,,Not reviewed,,not screened
LOC643210,0,1,,Not reviewed,,not screened
Hs.145476,0,1,,Not reviewed,,not screened
Hs.545846,0,1,,Not reviewed,,not screened
Hs.160711,0,1,,Not reviewed,,not screened
FLJ46266,0,1,,Not reviewed,,not screened
Hs.529542,0,1,,Not reviewed,,not screened
Hs.379473,0,1,,Not reviewed,,not screened
Hs.565872,0,1,,Not reviewed,,not screened
LOC283767,0,1,,Not reviewed,,not screened
Hs.516344,0,1,,Not reviewed,,not screened
LOC641804,0,1,,Not reviewed,,not screened
TMPRSS11E,0,1,,Not reviewed,,not screened
C15orf5,0,1,,Not reviewed,,not screened
Hs.569401,0,1,,Not reviewed,,not screened
Hs.565365,0,1,,Not reviewed,,not screened
PRODH2,0,1,,Not reviewed,,not screened
MTG1,0,1,,Not reviewed,,not screened
C9orf157,0,1,,Not reviewed,,not screened
GPR141,0,1,,Not reviewed,,not screened
LOC648944,0,1,,Not reviewed,,not screened
LOC651589,0,1,,Not reviewed,,not screened
TACC3,0,1,,Not reviewed,,not screened
C9orf89,0,1,,Not reviewed,,not screened
ARSF,0,1,,Not reviewed,,not screened
Hs.557036,0,1,,Not reviewed,,not screened
MGC35030,0,1,,Not reviewed,,not screened
Hs.560238,0,1,,Not reviewed,,not screened
LOC646519,0,1,,Not reviewed,,not screened
LOC392467,0,1,,Not reviewed,,not screened
HISPPD1,0,1,,Not reviewed,,not screened
Hs.574318,0,1,,Not reviewed,,not screened
Hs.385663,0,1,,Not reviewed,,not screened
SERPINA5,0,1,,Not reviewed,,not screened
LOC645871,0,1,,Not reviewed,,not screened
LOC349338,0,1,,Not reviewed,,not screened
MCCD1,0,1,,Not reviewed,,not screened
MAGEE2,0,1,,Not reviewed,,not screened
RFFL,0,1,,Not reviewed,,not screened
DNAJB8,0,1,,Not reviewed,,not screened
ADM2,0,1,,Not reviewed,,not screened
Hs.147149,0,1,,Not reviewed,,not screened
LOC644869,0,1,,Not reviewed,,not screened
Hs.540209,0,1,,Not reviewed,,not screened
POLQ,0,1,,Not reviewed,,not screened
RABEP2,0,1,,Not reviewed,,not screened
Hs.279227,0,1,,Not reviewed,,not screened
Hs.579236,0,1,,Not reviewed,,not screened
Hs.430502,0,1,,Not reviewed,,not screened
LAT1-3TM,0,1,,Not reviewed,,not screened
ZBTB20,0,1,,Not reviewed,,not screened
EGFL4,0,1,,Not reviewed,,not screened
Hs.545513,0,1,,Not reviewed,,not screened
Hs.581032,0,1,,Not reviewed,,not screened
HIT-40,0,1,,Not reviewed,,not screened
Hs.127762,0,1,,Not reviewed,,not screened
ATP13A1,0,1,,Not reviewed,,not screened
Hs.311428,0,1,,Not reviewed,,not screened
LOC647591,0,1,,Not reviewed,,not screened
POLR2F,0,1,,Not reviewed,,not screened
TPRXL,0,1,,Not reviewed,,not screened
KSR2,0,1,,Not reviewed,,not screened
LOC654210,0,1,,Not reviewed,,not screened
LOC441205,0,1,,Not reviewed,,not screened
Hs.563957,0,1,,Not reviewed,,not screened
Hs.563385,0,1,,Not reviewed,,not screened
LOC646778,0,1,,Not reviewed,,not screened
WDR5,0,1,,Not reviewed,,screened
LOC653333,0,1,,Not reviewed,,not screened
PNMA6A,0,1,,Not reviewed,,not screened
LOC642989,0,1,,Not reviewed,,not screened
PLA2G4F,0,1,,Not reviewed,,not screened
WWTR1,0,1,,Not reviewed,,not screened
Hs.437547,0,1,,Not reviewed,,not screened
LOC647366,0,1,,Not reviewed,,not screened
Hs.547238,0,1,,Not reviewed,,not screened
Hs.560613,0,1,,Not reviewed,,not screened
OR51A7,0,1,,Not reviewed,,not screened
TUBGCP2,0,1,,Not reviewed,,not screened
LRCH2,0,1,,Not reviewed,,not screened
Hs.576927,0,1,,Not reviewed,,not screened
ANKFN1,0,1,,Not reviewed,,not screened
Hs.543092,0,1,,Not reviewed,,not screened
PRKAB1,0,1,,Not reviewed,,not screened
RPP38,0,1,,Not reviewed,,not screened
SF3A1,0,1,,Not reviewed,,not screened
ITSN1,0,1,,Not reviewed,,not screened
IL17R,0,1,,Not reviewed,,not screened
KLC4,0,1,,Not reviewed,,not screened
AEBP2,0,1,,Not reviewed,,not screened
PCDHA6,0,1,,Not reviewed,,not screened
Hs.347034,0,1,,Not reviewed,,not screened
MRPL42P5,0,1,,Not reviewed,,not screened
TPST1,0,1,,Not reviewed,,not screened
LOC646573,0,1,,Not reviewed,,not screened
Hs.363510,0,1,,Not reviewed,,not screened
Hs.557033,0,1,,Not reviewed,,not screened
LOC650794,0,1,,Not reviewed,,not screened
CILP2,0,1,,Not reviewed,,not screened
C6orf162,0,1,,Not reviewed,,not screened
MUSK,0,1,,Not reviewed,,not screened
Hs.129583,0,1,,Not reviewed,,not screened
Hs.567184,0,1,,Not reviewed,,not screened
Hs.574521,0,1,,Not reviewed,,not screened
Hs.581983,0,1,,Not reviewed,,not screened
LOC642623,0,1,,Not reviewed,,not screened
ZCSL3,0,1,,Not reviewed,,not screened
CABLES2,0,1,,Not reviewed,,not screened
MBD3,0,1,,Not reviewed,,screened
Hs.550982,0,1,,Not reviewed,,not screened
Hs.577861,0,1,,Not reviewed,,not screened
Hs.408415,0,1,,Not reviewed,,not screened
CCL7,0,1,,Not reviewed,,not screened
Hs.566937,0,1,,Not reviewed,,not screened
Hs.210308,0,1,,Not reviewed,,not screened
SIRT4,0,1,,Not reviewed,,screened
FLJ38663,0,1,,Not reviewed,,not screened
PNMA1,0,1,,Not reviewed,,not screened
Hs.128227,0,1,,Not reviewed,,not screened
Hs.580877,0,1,,Not reviewed,,not screened
LOC645562,0,1,,Not reviewed,,not screened
Hs.558279,0,1,,Not reviewed,,not screened
LOC641719,0,1,,Not reviewed,,not screened
FLJ23657,0,1,,Not reviewed,,not screened
RFPL2,0,1,,Not reviewed,,not screened
Hs.259477,0,1,,Not reviewed,,not screened
Hs.570423,0,1,,Not reviewed,,not screened
Hs.578922,0,1,,Not reviewed,,not screened
MYADM,0,1,,Not reviewed,,not screened
CPAMD8,0,1,,Not reviewed,,not screened
Hs.546084,0,1,,Not reviewed,,not screened
Hs.550915,0,1,,Not reviewed,,not screened
C6orf118,0,1,,Not reviewed,,not screened
LOC645442,0,1,,Not reviewed,,not screened
GPATC4,0,1,,Not reviewed,,not screened
LLGL1,0,1,,Not reviewed,,not screened
KIAA0427,0,1,,Not reviewed,,not screened
LOC346950,0,1,,Not reviewed,,not screened
Hs.31028,0,1,,Not reviewed,,not screened
CLDN22,0,1,,Not reviewed,,not screened
SLC7A8,0,1,,Not reviewed,,not screened
Hs.562660,0,1,,Not reviewed,,not screened
Hs.443669,0,1,,Not reviewed,,not screened
Hs.241559,0,1,,Not reviewed,,not screened
Hs.542001,0,1,,Not reviewed,,not screened
Hs.551264,0,1,,Not reviewed,,not screened
LOC652784,0,1,,Not reviewed,,not screened
ZNF651,0,1,,Not reviewed,,not screened
Hs.127366,0,1,,Not reviewed,,not screened
LOC653521,0,1,,Not reviewed,,not screened
Hs.519535,0,1,,Not reviewed,,not screened
ST7OT4,0,1,,Not reviewed,,not screened
Hs.333643,0,1,,Not reviewed,,not screened
LOC647523,0,1,,Not reviewed,,not screened
PFKFB1,0,1,,Not reviewed,,not screened
Hs.540510,0,1,,Not reviewed,,not screened
TOMM22,0,1,,Not reviewed,,not screened
C20orf42,0,1,,Not reviewed,,not screened
RNF139,0,1,,Not reviewed,,not screened
Hs.526519,0,1,,Not reviewed,,not screened
Hs.563840,0,1,,Not reviewed,,not screened
KCNH7,0,1,,Not reviewed,,not screened
Hs.546053,0,1,,Not reviewed,,not screened
RASGRF1,0,1,,Not reviewed,,not screened
Hs.577518,0,1,,Not reviewed,,not screened
Hs.577338,0,1,,Not reviewed,,not screened
PMCHL2,0,1,,Not reviewed,,not screened
LOC652226,0,1,,Not reviewed,,not screened
CD82,0,1,,Not reviewed,,not screened
LOC652630,0,1,,Not reviewed,,not screened
Hs.544081,0,1,,Not reviewed,,not screened
Hs.122226,0,1,,Not reviewed,,not screened
Hs.545993,0,1,,Not reviewed,,not screened
Hs.560302,0,1,,Not reviewed,,not screened
Hs.575995,0,1,,Not reviewed,,not screened
ANKRD31,0,1,,Not reviewed,,not screened
ARMC9,0,1,,Not reviewed,,not screened
Hs.572030,0,1,,Not reviewed,,not screened
C6orf113,0,1,,Not reviewed,,not screened
MGAT5,0,1,,Not reviewed,,not screened
LOC641806,0,1,,Not reviewed,,not screened
C1orf177,0,1,,Not reviewed,,not screened
Hs.574821,0,1,,Not reviewed,,not screened
Hs.572896,0,1,,Not reviewed,,not screened
Hs.435548,0,1,,Not reviewed,,not screened
Hs.582534,0,1,,Not reviewed,,not screened
MCM5,0,1,,Not reviewed,,not screened
Hs.559599,0,1,,Not reviewed,,not screened
SDS,0,1,,Not reviewed,,not screened
Hs.570241,0,1,,Not reviewed,,not screened
HDHD1A,0,1,,Not reviewed,,not screened
SNAPC3,0,1,,Not reviewed,,not screened
Hs.548831,0,1,,Not reviewed,,not screened
FLJ20245,0,1,,Not reviewed,,not screened
LOC654053,0,1,,Not reviewed,,not screened
Hs.543586,0,1,,Not reviewed,,not screened
MGC26744,0,1,,Not reviewed,,not screened
ANKRD10,0,1,,Not reviewed,,not screened
Hs.565999,0,1,,Not reviewed,,not screened
Hs.551398,0,1,,Not reviewed,,not screened
LOC650147,0,1,,Not reviewed,,not screened
ARVP6125,0,1,,Not reviewed,,not screened
C19orf36,0,1,,Not reviewed,,not screened
RBAK,0,1,,Not reviewed,,not screened
Hs.557638,0,1,,Not reviewed,,not screened
CYP2F1,0,1,,Not reviewed,,not screened
MID1IP1,0,1,,Not reviewed,,not screened
LOC651949,0,1,,Not reviewed,,not screened
Hs.543782,0,1,,Not reviewed,,not screened
LOC116349,0,1,,Not reviewed,,not screened
FLJ36445,0,1,,Not reviewed,,not screened
JDP2,0,1,,Not reviewed,,not screened
HLA-DQB2,0,1,,Not reviewed,,not screened
Hs.573674,0,1,,Not reviewed,,not screened
Hs.467363,0,1,,Not reviewed,,not screened
PCNXL2,0,1,,Not reviewed,,not screened
LOC653774,0,1,,Not reviewed,,not screened
FLJ39827,0,1,,Not reviewed,,not screened
Hs.183831,0,1,,Not reviewed,,not screened
Hs.575715,0,1,,Not reviewed,,not screened
LOC652880,0,1,,Not reviewed,,not screened
Hs.539419,0,1,,Not reviewed,,not screened
TAS2R49,0,1,,Not reviewed,,not screened
ZC3H12B,0,1,,Not reviewed,,not screened
GSH1,0,1,,Not reviewed,,not screened
GAPDHS,0,1,,Not reviewed,,not screened
LOC388327,0,1,,Not reviewed,,not screened
GUCY1B3,0,1,,Not reviewed,,not screened
PKD2L2,0,1,,Not reviewed,,not screened
Hs.571028,0,1,,Not reviewed,,not screened
Hs.576380,0,1,,Not reviewed,,not screened
Hs.434359,0,1,,Not reviewed,,not screened
TRH,0,1,,Not reviewed,,not screened
Hs.569649,0,1,,Not reviewed,,not screened
Hs.563985,0,1,,Not reviewed,,not screened
Hs.480489,0,1,,Not reviewed,,not screened
OACT1,0,1,,Not reviewed,,not screened
Hs.567109,0,1,,Not reviewed,,not screened
LOC651919,0,1,,Not reviewed,,not screened
Hs.561059,0,1,,Not reviewed,,not screened
FLJ45079,0,1,,Not reviewed,,not screened
Hs.104091,0,1,,Not reviewed,,not screened
LOC441582,0,1,,Not reviewed,,not screened
Hs.224247,0,1,,Not reviewed,,not screened
Hs.543058,0,1,,Not reviewed,,not screened
Hs.583975,0,1,,Not reviewed,,not screened
RUFY1,0,1,,Not reviewed,,not screened
Hs.559949,0,1,,Not reviewed,,not screened
Hs.583317,0,1,,Not reviewed,,not screened
TFR2,0,1,,Not reviewed,,not screened
ANK3,0,1,,Not reviewed,,not screened
HIST1H2AH,0,1,,Not reviewed,,not screened
Hs.583581,0,1,,Not reviewed,,not screened
LOC646407,0,1,,Not reviewed,,not screened
Hs.461819,0,1,,Not reviewed,,not screened
TOP2B,0,1,,Not reviewed,,not screened
PODN,0,1,,Not reviewed,,not screened
Hs.518715,0,1,,Not reviewed,,not screened
LOC643825,0,1,,Not reviewed,,not screened
LOC653484,0,1,,Not reviewed,,not screened
ABCC13,0,1,,Not reviewed,,not screened
DZIP1,0,1,,Not reviewed,,not screened
Hs.562517,0,1,,Not reviewed,,not screened
Hs.246726,0,1,,Not reviewed,,not screened
Hs.561764,0,1,,Not reviewed,,not screened
LOC648856,0,1,,Not reviewed,,not screened
Hs.538328,0,1,,Not reviewed,,not screened
RDH14,0,1,,Not reviewed,,not screened
Hs.186271,0,1,,Not reviewed,,not screened
Hs.541123,0,1,,Not reviewed,,not screened
FAM64A,0,1,,Not reviewed,,not screened
TUSC3,0,1,,Not reviewed,,not screened
